strain	clade
Netherlands/NA_27/2020	D
Netherlands/NA_34/2020	D
Netherlands/NA_35/2020	D
Netherlands/NA_29/2020	D
Netherlands/NA_59/2020	D
Netherlands/NA_6/2020	D
Netherlands/NA_240/2020	D
Netherlands/NA_245/2020	D
Netherlands/NA_252/2020	D
Netherlands/NA_40/2020	D
Netherlands/NA_44/2020	D
Netherlands/NA_50/2020	D
Netherlands/NA_75/2020	D
Netherlands/NA_77/2020	D
Netherlands/NA_80/2020	D
Netherlands/NA_83/2020	D
Netherlands/NA_86/2020	D
Netherlands/NA_84/2020	D
Netherlands/NA_68/2020	D
Netherlands/NA_82/2020	D
Netherlands/NA_45/2020	D
Netherlands/NA_70/2020	D
Netherlands/NA_71/2020	D
Netherlands/NA_76/2020	D
Netherlands/NA_58/2020	D
Netherlands/NA_81/2020	D
Netherlands/NA_88/2020	D
Netherlands/NA_63/2020	D
Netherlands/NA_313/2020	D
Netherlands/NA_67/2020	D
Netherlands/NA_41/2020	D
Netherlands/NA_270/2020	D
Netherlands/NA_287/2020	D
Netherlands/NA_32/2020	D
Netherlands/NA_33/2020	D
Netherlands/NA_39/2020	D
Netherlands/NA_273/2020	D
Netherlands/NA_42/2020	D
Netherlands/NA_249/2020	G
Netherlands/NA_304/2020	G
Netherlands/NA_305/2020	G
Netherlands/NA_310/2020	G
Netherlands/NA_281/2020	G
Guangdong/2020XN4433-P0040/2020	D
Guangdong/2020XN4243-P0035/2020	D
Guangdong/2020XN4459-P0041/2020	D
Guangdong/2020XN4239-P0034/2020	D
Guangdong/GD2020115-P0009/2020	D
Guangdong/GD2020080-P0010/2020	D
Guangdong/GD2020134-P0031/2020	D
Guangdong/GD2020227-P0029/2020	D
Guangdong/2020XN4475-P0042/2020	D
Guangdong/GDSZ202015-P0019/2020	D
Guangdong/2020XN4273-P0036/2020	D
Guangdong/GD2020087-P0008/2020	D
Guangdong/DG-S2-P0054/2020	D
Guangdong/GDFS2020052-P0025/2020	D
Guangdong/GDFS2020127-P0026/2020	D
Guangdong/FS-S50-P0053/2020	D
Guangdong/FS-S30-P0052/2020	D
Guangdong/FS-S42-P0046/2020	D
Germany/NRW-02-1/2020	D
Germany/NRW-06/2020	D
Germany/NRW-14/2020	D
Germany/NRW-16/2020	D
Germany/NRW-17/2020	D
Germany/NRW-03/2020	D
Germany/NRW-09/2020	D
Germany/NRW-04/2020	D
Germany/NRW-05/2020	D
Germany/NRW-07/2020	D
Germany/NRW-10/2020	D
Germany/NRW-39/2020	D
Guangdong/2020XN4448-P0002/2020	D
Guangdong/GD2020139-P0007/2020	D
Guangdong/ZS-S6-P0060/2020	D
Guangdong/GD2020246-P0028/2020	D
Guangdong/MM-S1-P0048/2020	D
Germany/NRW-46/2020	D
Germany/BAV-V2012856/2020	G
Germany/NRW-19/2020	G
Germany/NRW-41/2020	G
Germany/NRW-011/2020	G
Germany/NRW-13/2020	G
Germany/NRW-45/2020	G
Germany/NRW-55/2020	G
Germany/NRW-12/2020	G
Germany/NRW-18/2020	G
Germany/NRW-20/2020	G
Germany/NRW-21/2020	G
Germany/NRW-22/2020	G
Germany/NRW-23/2020	G
Germany/NRW-24/2020	G
Germany/NRW-26/2020	G
Germany/NRW-37/2020	G
Germany/NRW-40/2020	G
Germany/NRW-42/2020	G
Germany/NRW-42.2/2020	G
Germany/NRW-53/2020	G
Germany/NRW-42.3/2020	G
Germany/NRW-29/2020	G
Germany/NRW-28/2020	G
Germany/NRW-38/2020	G
Germany/NRW-52/2020	G
Germany/NRW-25/2020	G
Germany/NRW-49/2020	G
Germany/NRW-32/2020	G
Germany/NRW-27/2020	G
Germany/NRW-30/2020	G
Germany/NRW-51/2020	G
Germany/NRW-44/2020	G
Germany/NRW-33/2020	G
Germany/NRW-34/2020	G
Germany/NRW-36/2020	G
Germany/NRW-47/2020	G
Germany/NRW-43/2020	G
Germany/NRW-54/2020	G
Germany/NRW-15/2020	other
Greece/13/2020	G
Greece/10/2020	G
Greece/12/2020	G
Germany/NRW-48/2020	G
Germany/NRW-35/2020	D
Germany/NRW-31/2020	other
Germany/BavPat1/2020	G
Hangzhou/HZ-1/2020	D
Hangzhou/HZ162/2020	D
Hangzhou/HZ178/2020	D
Hangzhou/HZ185/2020	D
Hangzhou/HZ477/2020	D
Hangzhou/HZ48/2020	D
Hangzhou/HZ481/2020	D
Hangzhou/HZ49/2020	D
Hangzhou/HZ551/2020	D
Hangzhou/HZ576/2020	D
Hangzhou/HZ60/2020	D
Hangzhou/HZ638/2020	D
Hangzhou/HZ79/2020	D
Hangzhou/HZ90/2020	D
Hangzhou/HZ62/2020	D
Guangdong/20SF174/2020	D
Guangdong/20SF201/2020	D
Guangzhou/20SF206/2020	D
Ghana/3177_S12/2020	D
Guangdong/20SF012/2020	D
Guangdong/20SF013/2020	D
Guangdong/20SF025/2020	D
Guangdong/20SF014/2020	D
Guangdong/20SF028/2020	D
Guangdong/20SF040/2020	D
Guangzhou/GZMU0044/2020	D
Guangzhou/GZMU0030/2020	D
Guangzhou/GZMU0048/2020	D
Guangzhou/GZMU0014/2020	D
Germany/BavPat3/2020	D
Guangdong/2020XN4276-P0037/2020	D
Germany/NRW-01/2020	D
Greece/16/2020	D
Guangdong/GD2020233-P0027/2020	D
Guangdong/GDFS2020054-P0005/2020	D
Guangdong/GDSZ202008-P0020/2020	D
Germany/BavPat2/2020	D
Guangdong/GD2020086-P0021/2020	D
Guangdong/2020XN4291-P0038/2020	D
Guangdong/SZ-N128-P0057/2020	D
Guangdong/FS-S48-P0047/2020	D
Guangdong/GD2020258-P0018/2020	D
Guangdong/ZH-S33-P0058/2020	D
Guangzhou/GZMU0042/2020	D
Guangdong/GDSZ202004-P0004/2020	D
Guangdong/SZ-N59-P0049/2020	D
Guangdong/JM-S1-P0062/2020	D
Guangdong/DG-S41-P0056/2020	D
Ghana/1651_S3/2020	D
Ghana/2850_S15/2020	D
Ghana/2828_S6/2020	D
Ghana/2230_S4/2020	D
Ghana/3176_S11/2020	D
Ghana/2853_S7/2020	G
Ghana/2914_S8/2020	G
Ghana/2333_S5/2020	G
Ghana/2986_S10/2020	G
Ghana/1565_S13/2020	G
Ghana/1659_S14/2020	G
Ghana/2944_S9/2020	G
Germany/Baden-Wuerttemberg-1/2020	G
Guangdong/DG-S9-P0045/2020	D
Germany/NRW-50/2020	D
Guangdong/GD2020234-P0023/2020	D
Ghana/1622_S2/2020	G
Guangdong/2020XN4373-P0039/2020	D
Germany/NRW-08/2020	D
Guangdong/GZ-S6-P0050/2020	D
USA/NY-NYUMC99/2020	D
USA/NY-NYUMC97/2020	G
USA/NY-NYUMC98/2020	G
USA/NY-PV09030/2020	G
USA/NY-PV08109/2020	G
USA/NY-PV08415/2020	G
USA/NY-PV08120/2020	G
USA/NY-PV09019/2020	G
USA/NY-PV09006/2020	G
USA/NY-PV09028/2020	G
USA/NY-PV09064/2020	G
USA/NY-PV08121/2020	G
USA/NY-PV08493/2020	G
USA/NY-PV09000/2020	G
USA/NY-PV08139/2020	G
USA/NY-PV08417/2020	G
USA/NY-PV08133/2020	G
USA/NY-PV08122/2020	G
USA/NY-PV08123/2020	G
USA/NY-PV08124/2020	G
USA/NY-PV08495/2020	G
USA/NY-PV08125/2020	G
USA/NY-PV08427/2020	G
USA/NY-PV08444/2020	G
USA/NY-PV08452/2020	G
USA/NY-PV08453/2020	G
USA/NY-PV08466/2020	G
USA/NY-PV08474/2020	G
USA/NY-PV08492/2020	G
USA/NY-PV09021/2020	G
USA/NY-PV09057/2020	G
USA/NY-PV09069/2020	G
USA/NY-PV09102/2020	G
USA/NY-PV08445/2020	G
USA/NY-PV08448/2020	G
USA/NY-PV08449/2020	G
USA/NY-PV08456/2020	G
USA/NY-PV08476/2020	G
USA/NY-PV08450/2020	G
USA/NY-PV08496/2020	G
USA/NY-PV09073/2020	G
USA/NY-PV08436/2020	G
USA/NY-PV08477/2020	G
USA/NY-PV08426/2020	G
USA/NY-PV08432/2020	G
USA/NY-PV08434/2020	G
USA/NY-PV08485/2020	G
USA/NY-PV08438/2020	G
USA/NY-PV08473/2020	G
USA/NY-PV08486/2020	G
USA/NY-PV09045/2020	G
USA/NY-PV09046/2020	G
USA/NY-PV09025/2020	G
USA/NY-PV08446/2020	G
USA/NY-PV08149/2020	G
USA/NY-PV08127/2020	G
USA/NY-PV08413/2020	G
USA/NY-PV08469/2020	G
USA/NY-PV08481/2020	G
USA/NY-PV08412/2020	G
USA/NY-PV08138/2020	G
USA/NY-PV08404/2020	G
USA/NY-PV08455/2020	G
USA/NY-PV09032/2020	G
USA/NY-PV09079/2020	G
USA/NY-PV08410/2020	G
USA/NY-PV08472/2020	G
USA/NY-PV08478/2020	G
USA/NY-PV08461/2020	G
USA/NY-PV08428/2020	G
USA/NY-PV08420/2020	G
USA/NY-PV08143/2020	G
USA/NY-PV08463/2020	G
USA/NY-PV08150/2020	G
USA/NY-PV08400/2020	G
USA/NY-PV08402/2020	G
USA/NY-PV09056/2020	G
USA/NY-PV09068/2020	G
USA/NY-PV09090/2020	G
USA/NY-PV09092/2020	G
USA/NY-PV09029/2020	G
USA/NY-PV09116/2020	G
USA/NY-PV08416/2020	G
USA/NY-PV09043/2020	G
USA/NY-PV09119/2020	G
USA/NY-PV09097/2020	G
USA/NY-PV09123/2020	G
USA/NY-PV09088/2020	G
USA/NY-PV09127/2020	G
USA/NY-PV09020/2020	G
USA/NY-PV09118/2020	G
USA/NY-PV09130/2020	G
USA/NY-PV09071/2020	G
USA/NY-PV09098/2020	G
USA/NY-PV09128/2020	G
USA/NY-PV08425/2020	G
USA/NY-PV08459/2020	G
USA/NY-PV09039/2020	G
USA/NY-PV08468/2020	G
USA/NY-PV09041/2020	G
USA/NY-PV08491/2020	G
USA/NY-PV09120/2020	G
USA/NY-PV08494/2020	G
USA/NY-PV09087/2020	G
USA/NY-PV08435/2020	G
USA/NY-PV08447/2020	G
USA/NY-PV09125/2020	G
USA/NY-PV08487/2020	G
USA/NY-PV08443/2020	G
USA/NY-PV08500/2020	G
USA/NY-PV09121/2020	G
USA/NY-PV08429/2020	G
USA/NY-PV09044/2020	G
USA/NY-PV09060/2020	G
USA/NY-PV09129/2020	G
USA/NY-PV09037/2020	G
USA/NY-PV09023/2020	G
USA/NY-PV09077/2020	G
USA/NY-PV08401/2020	G
USA/NY-PV09047/2020	G
USA/NY-PV09083/2020	G
USA/NY-PV09126/2020	G
USA/NY-PV08403/2020	G
USA/NY-PV08471/2020	G
USA/NY-PV09103/2020	G
USA/NY-PV09115/2020	G
USA/NY-PV09122/2020	G
USA/NY-PV09075/2020	G
USA/NY-PV08135/2020	D
USA/NY-PV08137/2020	D
USA/NY-PV08414/2020	D
USA/NY-PV08136/2020	D
USA/NY-PV08489/2020	D
USA/NY-PV09067/2020	D
USA/NY-PV08498/2020	D
USA/NY-PV09061/2020	D
USA/NY-PV09099/2020	D
USA/NY-PV09063/2020	D
USA/NY-PV08462/2020	G
USA/NY-PV08146/2020	D
USA/NY-PV08148/2020	D
USA/NY-PV08464/2020	G
USA/NY-PV09050/2020	G
USA/NY-PV08441/2020	D
USA/NY-PV08490/2020	D
USA/NY-PV09076/2020	G
USA/NY-PV09080/2020	G
USA/NY-PV08140/2020	G
USA/NY-PV08419/2020	G
USA/NY-PV08405/2020	G
Canada/BC_8150537/2020	D
Canada/BC_8159203/2020	D
Canada/BC_8718874/2020	D
Canada/BC_8894200/2020	D
Canada/BC_8897642/2020	D
Canada/BC_8896915/2020	D
Canada/BC_8622445/2020	D
Canada/BC_83109/2020	D
Canada/BC_83163/2020	D
Canada/BC_8486790/2020	G
Canada/BC_9345715/2020	G
Canada/BC_9574898/2020	G
Canada/BC_9345042/2020	G
Chongqing/IVDC-CQ-001/2020	D
Chongqing/ZX01/2020	D
Chongqing/YC01/2020	D
Canada/BC_78548/2020	D
Canada/BC_9446031/2020	D
Canada/BC_8606204/2020	D
Canada/ON-VIDO-01/2020	D
China/WH-09/2020	D
Canada/ON_PHL0052/2020	D
Canada/ON_PHL6883/2020	D
Canada/ON_PHL8580/2020	D
Canada/ON_PHL0142/2020	D
Canada/ON_PHL1083/2020	D
Canada/ON_PHL3877/2020	D
Canada/ON_PHL3802/2020	D
Canada/ON_PHL4464/2020	D
Canada/ON_PHL5705/2020	D
Canada/ON_PHL5710/2020	D
Canada/ON_PHL0178/2020	D
Canada/ON_PHL6884/2020	D
Canada/ON_PHL3670/2020	D
Canada/ON_PHL5694/2020	D
Canada/ON_PHL4181/2020	D
Canada/ON_PHL0539/2020	G
Canada/ON_PHL0743/2020	G
Canada/ON_PHL3741/2020	G
Canada/ON_PHL8751/2020	G
Canada/ON_PHL3380/2020	G
Canada/ON_PHL3575/2020	G
Canada/ON_PHL3650/2020	G
Canada/ON_PHL3680/2020	G
Canada/ON_PHL5672/2020	G
Canada/ON_PHL4088/2020	G
Canada/ON_PHLU8150/2020	G
Canada/ON_PHL6980/2020	G
Canada/ON_PHLH6415/2020	G
Canada/ON_PHL5756/2020	G
Canada/ON_PHL5757/2020	G
Canada/ON_PHL3692/2020	G
Canada/ON_PHL1095/2020	G
Canada/ON_PHL0654/2020	G
Canada/ON_PHL8539/2020	G
Canada/ON_PHL0977/2020	G
Canada/ON_PHL3536/2020	G
Canada/ON_PHL3695/2020	G
Canada/ON_PHL6922/2020	G
Canada/ON_PHL3350/2020	G
Canada/ON_PHL7513/2020	G
Canada/ON_PHL2653/2020	G
Canada/ON_PHL3458/2020	G
Canada/ON_PHL8458/2020	G
Canada/ON_PHL7590/2020	G
Canada/ON_PHL4232/2020	G
Canada/ON_PHL0141/2020	D
Canada/ON_PHL3459/2020	D
Canada/ON_PHL3318/2020	D
Canada/ON_PHL3917/2020	D
Canada/ON_PHL3919/2020	D
Canada/ON_PHL5472/2020	D
Canada/ON_PHL7972/2020	D
Canada/ON_PHL0976/2020	G
Canada/ON_PHL1898/2020	G
Chile/Talca-1/2020	D
Chile/Talca-2/2020	D
Canada/ON-PHL2445/2020	D
Chile/Santiago-1/2020	D
Chile/Santiago_op2d1/2020	D
Chile/Santiago_op4d1/2020	D
Chile/Santiago_op3d1/2020	D
Canada/MB_10/2020	G
Colombia/Bogota78390/2020	G
Canada/NB_6/2020	G
Canada/NS_13/2020	G
Canada/SK_4/2020	G
DRC/82/2020	G
DRC/KN-0038/2020	G
DRC/KN-0043/2020	G
Canada/MB_8/2020	D
Colombia/Antioquia79256/2020	D
CzechRepublic/951/2020	G
CzechRepublic/IAB_18/2020	G
DRC/236/2020	G
DRC/248/2020	G
DRC/80/2020	G
DRC/214/2020	G
DRC/431/2020	G
CzechRepublic/IAB_16/2020	G
CzechRepublic/IAB_21/2020	G
DRC/73/2020	G
DRC/396/2020	G
CzechRepublic/IAB_8/2020	G
CzechRepublic/IAB_9/2020	G
DRC/KN-0054/2020	G
CzechRepublic/IAB_12/2020	G
DRC/521/2020	G
DRC/253/2020	G
DRC/94/2020	G
DRC/402/2020	G
DRC/KN-0058/2020	G
DRC/108/2020	G
China/IQTC01/2020	D
Chile/Santiago-2/2020	G
CzechRepublic/2122/2020	G
CzechRepublic/IAB_14/2020	G
CzechRepublic/IAB_23/2020	G
CzechRepublic/IAB_17/2020	G
CzechRepublic/IAB_22/2020	G
CzechRepublic/Seq3/2020	G
CzechRepublic/Seq5/2020	G
CzechRepublic/Seq4/2020	G
CzechRepublic/Seq6/2020	G
CzechRepublic/Seq7/2020	G
CzechRepublic/IAB_15/2020	G
CzechRepublic/IAB_20/2020	G
CzechRepublic/IAB_4/2020	G
CzechRepublic/2741/2020	G
CzechRepublic/IAB_10/2020	G
DRC/243/2020	G
DRC/241/2020	G
CzechRepublic/IAB_1/2020	G
DRC/215/2020	G
DRC/523/2020	G
DRC/81/2020	G
DRC/254/2020	G
DRC/KN-0017/2020	G
China/IQTC02/2020	D
DRC/300/2020	D
DRC/376/2020	G
DRC/397/2020	G
DRC/191/2020	G
DRC/158/2020	D
DRC/KN-0059/2020	D
Canada/ON_PHL7512/2020	D
DRC/299/2020	D
CzechRepublic/2556/2020	G
CzechRepublic/2282/2020	G
DRC/KN-0051/2020	G
Scotland/EDB266/2020	D
Scotland/EDB390/2020	D
Scotland/EDB399/2020	D
Scotland/EDB401/2020	D
Scotland/EDB410/2020	D
Scotland/EDB413/2020	D
Scotland/EDB421/2020	D
Scotland/EDB382/2020	D
Scotland/EDB355/2020	D
Senegal/306/2020	D
Scotland/EDB354/2020	D
Scotland/EDB274/2020	D
Scotland/EDB386/2020	D
Scotland/EDB326/2020	D
Scotland/EDB442/2020	D
Scotland/EDB348/2020	D
Scotland/EDB551/2020	D
Scotland/EDB501/2020	D
Senegal/618/2020	D
Scotland/EDB232/2020	G
Scotland/EDB562/2020	G
Scotland/EDB248/2020	G
Scotland/EDB273/2020	G
Scotland/EDB252/2020	G
Scotland/EDB283/2020	G
Scotland/EDB288/2020	G
Scotland/EDB362/2020	G
Scotland/EDB407/2020	G
Scotland/EDB420/2020	G
Scotland/EDB555/2020	G
Scotland/EDB397/2020	G
Senegal/600/2020	G
Scotland/EDB254/2020	G
Scotland/EDB325/2020	G
Scotland/EDB342/2020	G
Scotland/EDB502/2020	G
Scotland/EDB559/2020	G
Scotland/EDB287/2020	G
Scotland/EDB278/2020	G
Senegal/315/2020	G
Scotland/EDB373/2020	G
Scotland/EDB379/2020	G
Scotland/EDB319/2020	G
Senegal/139/2020	G
Scotland/EDB245/2020	G
Scotland/EDB335/2020	G
Senegal/611/2020	G
Scotland/EDB389/2020	G
Scotland/EDB412/2020	G
Senegal/382/2020	G
Scotland/EDB336/2020	G
Scotland/EDB367/2020	G
Scotland/EDB392/2020	G
Scotland/EDB391/2020	G
Senegal/003/2020	G
Senegal/016/2020	G
Senegal/026/2020	G
Senegal/020/2020	G
Senegal/073/2020	G
Senegal/082/2020	G
Senegal/087/2020	G
Senegal/094/2020	G
Senegal/102/2020	G
Scotland/EDB565/2020	G
Scotland/EDB234/2020	G
Scotland/EDB275/2020	G
Scotland/EDB270/2020	G
Scotland/EDB356/2020	G
Scotland/EDB297/2020	G
Scotland/EDB327/2020	G
Scotland/EDB383/2020	G
Scotland/EDB561/2020	G
Scotland/EDB300/2020	G
Scotland/EDB374/2020	G
Scotland/EDB396/2020	G
Scotland/EDB378/2020	G
Scotland/EDB563/2020	G
Scotland/EDB318/2020	G
Scotland/EDB560/2020	G
Scotland/EDB363/2020	G
Scotland/EDB226/2020	D
Scotland/EDB533/2020	D
Scotland/EDB314/2020	D
Scotland/EDB530/2020	D
Scotland/EDB566/2020	D
Scotland/EDB227/2020	D
Scotland/EDB409/2020	D
Scotland/EDB517/2020	G
Scotland/EDB557/2020	G
Scotland/EDB508/2020	G
Senegal/136/2020	D
Senegal/620/2020	D
Scotland/EDB513/2020	G
Scotland/EDB365/2020	G
Shandong/IVDC-SD-001/2020	D
Shanghai/SH0002/2020	D
Shanghai/SH0003/2020	D
Shanghai/SH0009/2020	D
Shanghai/SH0013/2020	D
Shanghai/SH0043/2020	D
Shanghai/SH0026/2020	D
Shanghai/SH0031/2020	D
Shanghai/SH0044/2020	D
Shanghai/SH0029/2020	D
Shanghai/SH0038/2020	D
Shanghai/SH0012/2020	D
Shanghai/SH0030/2020	D
Shanghai/SH0007/2020	D
Shanghai/SH0028/2020	D
Shanghai/SH0010/2020	D
Shanghai/SH0024/2020	D
Shanghai/SH0032/2020	D
Shanghai/SH0049/2020	D
Shanghai/SH0034/2020	D
Shanghai/SH0008/2020	D
Shanghai/SH0053/2020	D
Shanghai/SH0041/2020	D
Shanghai/SH0040/2020	D
Shanghai/SH0050/2020	D
Shanghai/SH0004/2020	D
Shanghai/SH0005/2020	D
Shanghai/SH0051/2020	D
Shanghai/SH0014/2020	G
Shanghai/SH0025/2020	G
Shanghai/SH0033/2020	D
Shanghai/SH0020/2020	D
Shanghai/SH0021/2020	D
Shanghai/SH0011/2020	D
Shanghai/SH0027/2020	D
Shanghai/SH0042/2020	D
Shanghai/SH0022/2020	D
Shanghai/SH0023/2020	D
Shanghai/SH0036/2020	D
Shanghai/SH0039/2020	D
Shanghai/SH0045/2020	D
Shanghai/SH0052/2020	D
Shanghai/SH0017/2020	D
Shanghai/SH0047/2020	D
Shandong/LY003/2020	D
Shandong/LY008/2020	D
Shandong/LY006/2020	D
Shandong/LY005/2020	D
Shandong/LY004/2020	D
Senegal/370/2020	G
Senegal/119/2020	G
Senegal/640/2020	G
Senegal/328/2020	G
Shanghai/SH0035/2020	D
Shanghai/SH0037/2020	D
Shanghai/SH0048/2020	D
Wales/PHWC-24455/2020	D
Wales/PHWC-242B5/2020	D
Wales/PHWC-24D87/2020	D
Wales/PHWC-23F55/2020	D
Wales/PHWC-240E8/2020	D
Wales/PHWC-243EF/2020	D
Wales/PHWC-24BF6/2020	D
Wales/PHWC-240F7/2020	D
Wales/PHWC-23F73/2020	D
Wales/PHWC-244CE/2020	D
Wales/PHWC-24419/2020	D
Wales/PHWC-242C4/2020	D
Wales/PHWC-23F64/2020	D
Wales/PHWC-2423D/2020	D
Wales/PHWC-24297/2020	D
Wales/PHWC-24A35/2020	D
Wales/PHWC-24F81/2020	D
Wales/PHWC-24A17/2020	D
Wales/PHWC-24F63/2020	D
Wales/PHWC-25102/2020	D
Wales/PHWC-24385/2020	D
Wales/PHWC-24CC6/2020	D
Wales/PHWC-243FE/2020	D
Wales/PHWC-24CE4/2020	D
Wales/PHWC-24AAE/2020	D
Wales/PHWC-24B6F/2020	D
Wales/PHWC-24B7E/2020	D
Wales/PHWC-24121/2020	D
Wales/PHWC-2419A/2020	D
Wales/PHWC-24974/2020	D
Wales/PHWC-2491A/2020	D
Wales/PHWC-24D69/2020	D
Wales/PHWC-2469B/2020	G
Wales/PHWC-246E6/2020	G
Wales/PHWC-24938/2020	D
Wales/PHWC-24A80/2020	D
Wales/PHWC-24CB7/2020	D
Wales/PHWC-24D2D/2020	D
Wales/PHWC-2467D/2020	D
Wales/PHWC-24D4B/2020	D
Wales/PHWC-24A9F/2020	D
Wales/PHWC-23F19/2020	D
Wales/PHWC-24DC3/2020	D
Wales/PHWC-23F46/2020	D
Wales/PHWC-24BE7/2020	D
Wales/PHWC-240D9/2020	D
Wales/PHWC-242E2/2020	D
Wales/PHWC-2468C/2020	G
Wales/PHWC-247B6/2020	G
Wales/PHWC-2458F/2020	G
Wales/PHWC-24006/2020	D
Wales/PHWC-24631/2020	D
Wales/PHWC-24464/2020	D
Wales/PHWC-23FBF/2020	D
Wales/PHWC-23FDD/2020	D
Wales/PHWC-240CA/2020	D
Wales/PHWC-241E5/2020	D
Wales/PHWC-241F4/2020	D
Wales/PHWC-24279/2020	D
Wales/PHWC-2422E/2020	D
Wales/PHWC-24015/2020	G
Wales/PHWC-24024/2020	G
Wales/PHWC-24358/2020	G
Wales/PHWC-246B9/2020	G
Wales/PHWC-24DD2/2020	G
Wales/PHWC-24F18/2020	G
Wales/PHWC-248C2/2020	G
Wales/PHWC-24033/2020	D
Wales/PHWC-24ACC/2020	D
Wales/PHWC-244EC/2020	D
Wales/PHWC-24394/2020	D
Wales/PHWC-2480E/2020	D
Wales/PHWC-24EA2/2020	D
Wales/PHWC-24525/2020	D
Wales/PHWC-24437/2020	D
Wales/PHWC-24EC0/2020	D
Wales/PHWC-2481D/2020	D
Wales/PHWC-243D0/2020	D
Wales/PHWC-24C99/2020	D
Wales/PHWC-24DB4/2020	D
Wales/PHWC-24F27/2020	D
Wales/PHWC-24B23/2020	D
Wales/PHWC-248E0/2020	D
Wales/PHWC-24FEB/2020	D
Wales/PHWC-2414F/2020	D
Wales/PHWC-24F36/2020	D
Wales/PHWC-24482/2020	D
Wales/PHWC-250F6/2020	D
Wales/PHWC-24543/2020	D
Wales/PHWC-25014/2020	D
Wales/PHWC-249A1/2020	D
Wales/PHWC-24B41/2020	D
Wales/PHWC-24956/2020	D
Wales/PHWC-24992/2020	D
Wales/PHWC-249CF/2020	D
Wales/PHWC-24A71/2020	D
Wales/PHWC-24929/2020	D
Wales/PHWC-250E7/2020	D
Wales/PHWC-24C3F/2020	D
Wales/PHWC-23FA0/2020	D
Wales/PHWC-2415E/2020	D
Wales/PHWC-24B9C/2020	D
Wales/PHWC-24367/2020	G
Wales/PHWC-24C7B/2020	D
Wales/PHWC-24A44/2020	D
Wales/PHWC-24BAB/2020	D
